Gender,Country,Degree,Job Title
Male,Japan,Master's degree,Business Analyst
Male,New Zealand,Doctoral degree,Scientist/Researcher
Male,India,Bachelor's degree,
Female,Japan,,
Male,United States,Master's degree,Other
Female,Taiwan,Bachelor's degree,
Male,Canada,Professional degree,
Male,Other,Master's degree,
Male,United States,Master's degree,Researcher
Male,Canada,Doctoral degree,Other
Male,Iran,Doctoral degree,Scientist/Researcher
Male,Singapore,Bachelor's degree,Data Analyst
Male,India,Bachelor's degree,Engineer
Male,Russia,,Other
Male,India,Master's degree,Data Scientist
Female,India,Master's degree,Statistician
Male,France,Master's degree,Data Scientist
Male,France,Doctoral degree,Data Scientist
Female,Germany,Doctoral degree,Scientist/Researcher
Male,United Kingdom,Doctoral degree,
Female,Russia,,
Male,Spain,Doctoral degree,Data Scientist
Male,Germany,Doctoral degree,
Male,United Kingdom,Doctoral degree,Engineer
Male,United States,Doctoral degree,Scientist/Researcher
Male,Indonesia,Bachelor's degree,
Male,Israel,Master's degree,Data Scientist
Male,Singapore,Master's degree,Data Scientist
Male,Germany,Master's degree,Software Developer/Software Engineer
Male,United States,Master's degree,Engineer
Male,Germany,Master's degree,Other
Male,Colombia,Bachelor's degree,Machine Learning Engineer
Male,Russia,Professional degree,Scientist/Researcher
Male,United States,Bachelor's degree,
Male,India,Bachelor's degree,
Female,United States,Doctoral degree,Scientist/Researcher
Female,United States,Master's degree,Other
Male,Brazil,,
Female,United States,Master's degree,Predictive Modeler
Male,United States,,
Male,Other,,
Male,France,,
Male,Other,,
Male,Germany,Some college/university study without earning a bachelor's degree,
Male,Canada,Doctoral degree,Scientist/Researcher
Male,India,Bachelor's degree,DBA/Database Engineer
Male,Egypt,Bachelor's degree,
Male,Colombia,Master's degree,Data Scientist
Male,Hungary,Doctoral degree,Researcher
Female,United States,Bachelor's degree,Business Analyst
Male,Russia,Bachelor's degree,
Male,India,Bachelor's degree,Software Developer/Software Engineer
Male,India,Bachelor's degree,
Male,India,I did not complete any formal education past high school,
Male,India,Bachelor's degree,
Male,United States,Doctoral degree,Predictive Modeler
Female,United States,Master's degree,
Male,France,Master's degree,Software Developer/Software Engineer
Male,United States,Master's degree,
Male,United States,Master's degree,Data Scientist
Female,Brazil,Bachelor's degree,Other
Female,United States,Master's degree,Data Analyst
Male,Canada,Master's degree,
Male,Argentina,Master's degree,Machine Learning Engineer
Male,United States,Master's degree,Engineer
Female,Germany,Master's degree,
Male,United States,Bachelor's degree,
Male,India,Master's degree,
Male,India,Bachelor's degree,Data Analyst
Male,United States,,
Male,Spain,Professional degree,Software Developer/Software Engineer
Male,India,Bachelor's degree,
Female,United States,Some college/university study without earning a bachelor's degree,Researcher
Male,United Kingdom,I did not complete any formal education past high school,
Male,Turkey,Bachelor's degree,
Female,United States,Master's degree,Data Analyst
Male,Brazil,Master's degree,Computer Scientist
Male,Canada,Master's degree,Data Scientist
A different identity,India,Master's degree,
Male,Brazil,Master's degree,Scientist/Researcher
Male,India,Bachelor's degree,Data Scientist
Male,Hungary,Bachelor's degree,Researcher
Male,United States,Master's degree,Business Analyst
Male,Other,Bachelor's degree,Data Scientist
Male,Brazil,Bachelor's degree,Programmer
Male,India,Bachelor's degree,
Male,Russia,Some college/university study without earning a bachelor's degree,Business Analyst
Male,United States,Bachelor's degree,Other
Female,United States,Master's degree,
Male,United States,Bachelor's degree,Business Analyst
Male,Russia,,
Male,United States,Master's degree,Engineer
Male,India,Bachelor's degree,
Male,United States,Some college/university study without earning a bachelor's degree,Scientist/Researcher
Female,United Kingdom,Doctoral degree,Data Analyst
Male,United States,Some college/university study without earning a bachelor's degree,Data Scientist
Male,United States,Master's degree,
Male,India,Bachelor's degree,
Female,India,Bachelor's degree,
Male,India,,
A different identity,Argentina,I did not complete any formal education past high school,Business Analyst
Male,Ukraine,I did not complete any formal education past high school,
Male,Brazil,Professional degree,Programmer
Male,Russia,Master's degree,
Male,Italy,Bachelor's degree,
Male,Greece,Master's degree,
Male,Spain,Master's degree,Other
Male,United Kingdom,Bachelor's degree,Data Analyst
Male,India,Bachelor's degree,Programmer
A different identity,France,Doctoral degree,Software Developer/Software Engineer
Male,United States,Master's degree,
Male,United States,Master's degree,
Male,United States,I did not complete any formal education past high school,DBA/Database Engineer
Male,United States,Master's degree,
Male,Spain,Master's degree,Data Scientist
Male,United States,Master's degree,Programmer
Male,Russia,Professional degree,Software Developer/Software Engineer
Female,United States,Some college/university study without earning a bachelor's degree,Other
Male,United States,Master's degree,
Male,United States,Master's degree,
Male,Poland,Master's degree,DBA/Database Engineer
Male,France,Some college/university study without earning a bachelor's degree,
Female,Sweden,Master's degree,
Male,India,Bachelor's degree,
Male,United States,Doctoral degree,Data Scientist
Male,United States,Doctoral degree,Researcher
Male,United States,Master's degree,
Male,United States,Bachelor's degree,Other
Male,France,Master's degree,Scientist/Researcher
Male,Brazil,Some college/university study without earning a bachelor's degree,
A different identity,Canada,Bachelor's degree,Scientist/Researcher
Male,United States,Some college/university study without earning a bachelor's degree,Other
Male,India,Master's degree,Engineer
Male,United States,,
Female,Poland,Bachelor's degree,Data Scientist
Female,Canada,Some college/university study without earning a bachelor's degree,
Female,United States,Master's degree,Scientist/Researcher
Male,South Africa,Bachelor's degree,
Male,Denmark,Doctoral degree,Scientist/Researcher
Male,United States,Some college/university study without earning a bachelor's degree,
Female,Brazil,Master's degree,
Male,Pakistan,Bachelor's degree,
Male,People 's Republic of China,Doctoral degree,Researcher
Female,United States,Master's degree,Data Scientist
"Non-binary, genderqueer, or gender non-conforming",United States,Master's degree,
Female,Netherlands,Master's degree,
Male,United States,Doctoral degree,Scientist/Researcher
Male,United States,,
Male,Finland,Bachelor's degree,Data Scientist
Male,United States,Bachelor's degree,Data Miner
Male,United States,Doctoral degree,Data Scientist
Female,Canada,Bachelor's degree,Business Analyst
Male,United States,Doctoral degree,Data Scientist
Male,Canada,Master's degree,Software Developer/Software Engineer
Male,New Zealand,Bachelor's degree,Data Analyst
Male,France,Master's degree,Data Scientist
"Non-binary, genderqueer, or gender non-conforming",United States,Some college/university study without earning a bachelor's degree,
Male,Ukraine,Master's degree,Software Developer/Software Engineer
Female,United States,Master's degree,
Male,United States,Doctoral degree,Researcher
Male,United States,I did not complete any formal education past high school,
Male,Israel,,
Male,Czech Republic,Some college/university study without earning a bachelor's degree,Data Analyst
Male,Russia,,
Male,Pakistan,I did not complete any formal education past high school,
Male,Australia,I prefer not to answer,
Male,United States,Master's degree,Data Scientist
Male,United Kingdom,Bachelor's degree,Business Analyst
Male,Norway,Master's degree,Data Analyst
Male,India,Bachelor's degree,
Female,Australia,Master's degree,
Male,Netherlands,Master's degree,Business Analyst
Female,Ireland,Bachelor's degree,
Male,Australia,Bachelor's degree,
Male,United States,Master's degree,
Male,Chile,Professional degree,Software Developer/Software Engineer
Male,Canada,Bachelor's degree,Software Developer/Software Engineer
Male,Other,Master's degree,Computer Scientist
Male,Russia,,
Female,Germany,Bachelor's degree,Scientist/Researcher
Male,France,Master's degree,
Male,United States,Master's degree,Scientist/Researcher
Male,United States,Master's degree,Data Scientist
Female,France,Master's degree,Data Analyst
Female,Germany,Doctoral degree,Data Analyst
Female,United States,,
Male,United States,Master's degree,Scientist/Researcher
Male,United States,Master's degree,Data Scientist
Female,United States,I prefer not to answer,
Male,United States,Bachelor's degree,
Female,Poland,Bachelor's degree,
Male,United States,Doctoral degree,Data Scientist
Male,United States,Bachelor's degree,Data Scientist
Male,Italy,Bachelor's degree,Software Developer/Software Engineer
Male,Italy,Bachelor's degree,DBA/Database Engineer
Male,India,Master's degree,
Male,United States,Bachelor's degree,Business Analyst
Male,United States,Master's degree,Programmer
Male,India,Master's degree,
Male,Russia,Some college/university study without earning a bachelor's degree,
Male,United States,I did not complete any formal education past high school,
Male,United States,Master's degree,
Male,Germany,Master's degree,Software Developer/Software Engineer
Male,United Kingdom,Master's degree,
Male,Belarus,Master's degree,Programmer
Male,Czech Republic,Master's degree,Other
Male,Pakistan,Some college/university study without earning a bachelor's degree,
Female,United States,Master's degree,Engineer
Male,United States,Doctoral degree,Other
Male,United States,Bachelor's degree,Software Developer/Software Engineer
Female,United States,Master's degree,
Female,United Kingdom,Master's degree,Other
Male,India,Bachelor's degree,
Male,United Kingdom,Bachelor's degree,Data Analyst
Male,United States,Master's degree,Engineer
Male,Brazil,Bachelor's degree,Software Developer/Software Engineer
Female,France,Bachelor's degree,
Female,United States,Master's degree,
Female,Czech Republic,,
Male,Netherlands,Professional degree,
Male,Poland,Master's degree,Data Scientist
Male,India,I did not complete any formal education past high school,
Male,United States,Bachelor's degree,Software Developer/Software Engineer
Male,France,Doctoral degree,Other
Male,Australia,Some college/university study without earning a bachelor's degree,Predictive Modeler
Male,United States,Bachelor's degree,Other
Male,Czech Republic,Master's degree,Data Scientist
Male,Other,I did not complete any formal education past high school,
Male,United States,Bachelor's degree,Data Analyst
Male,Ireland,,
Male,Japan,Master's degree,
Male,Canada,I did not complete any formal education past high school,Computer Scientist
Male,United States,I prefer not to answer,Software Developer/Software Engineer
Male,United States,,
Male,Hungary,Some college/university study without earning a bachelor's degree,Software Developer/Software Engineer
Female,United States,Bachelor's degree,DBA/Database Engineer
Male,United States,Bachelor's degree,
Female,United States,Bachelor's degree,Other
Male,United States,Master's degree,
Male,Canada,Bachelor's degree,Software Developer/Software Engineer
Male,Italy,,
Male,Russia,Bachelor's degree,Software Developer/Software Engineer
Male,United States,,
Male,United States,Bachelor's degree,Other
Male,United Kingdom,Master's degree,Data Analyst
Male,Other,Bachelor's degree,Programmer
Male,Other,,
Male,United States,Doctoral degree,Researcher
Female,Spain,Master's degree,Data Scientist
Female,United States,Master's degree,Data Scientist
Male,United States,Doctoral degree,
Male,Australia,Master's degree,Data Scientist
Male,Russia,Professional degree,Researcher
Male,Poland,Bachelor's degree,Other
Male,India,Professional degree,
Male,New Zealand,Doctoral degree,Scientist/Researcher
Male,United States,Master's degree,Other
Male,Australia,Doctoral degree,
Male,Canada,,
Male,United States,Bachelor's degree,Other
Male,Malaysia,Bachelor's degree,
Male,South Africa,Bachelor's degree,Data Scientist
Male,Canada,Bachelor's degree,Software Developer/Software Engineer
Male,Indonesia,Master's degree,Business Analyst
Male,Other,Some college/university study without earning a bachelor's degree,Data Scientist
Male,Japan,Master's degree,Software Developer/Software Engineer
Male,United Kingdom,,
Male,United States,Bachelor's degree,Data Scientist
Female,New Zealand,Master's degree,Machine Learning Engineer
Male,Japan,,
Male,Colombia,Professional degree,
Female,Mexico,Master's degree,DBA/Database Engineer
Male,United States,Master's degree,
Male,Russia,Bachelor's degree,Machine Learning Engineer
Male,United States,Master's degree,Data Scientist
Male,Italy,Some college/university study without earning a bachelor's degree,
Male,United States,Master's degree,Software Developer/Software Engineer
Male,United States,Doctoral degree,Scientist/Researcher
Female,United States,Master's degree,
Male,United States,Master's degree,
Male,France,Master's degree,Software Developer/Software Engineer
Male,India,Bachelor's degree,Data Scientist
Male,United States,I prefer not to answer,
Male,India,Master's degree,
Male,United States,Bachelor's degree,Data Scientist
Male,United States,Master's degree,
Male,United States,Bachelor's degree,
Male,Australia,Doctoral degree,Software Developer/Software Engineer
Male,Russia,Master's degree,
Male,Italy,Bachelor's degree,
Male,United States,Master's degree,Business Analyst
Male,United States,Bachelor's degree,Software Developer/Software Engineer
Female,United States,,
Female,United Kingdom,Master's degree,
Female,United States,Master's degree,
Male,Netherlands,Bachelor's degree,
Male,United States,Bachelor's degree,Researcher
Female,United States,Doctoral degree,Scientist/Researcher
Female,Other,Master's degree,
Male,Germany,,
Male,France,Master's degree,DBA/Database Engineer
Male,United States,I prefer not to answer,Software Developer/Software Engineer
Male,Czech Republic,Master's degree,Software Developer/Software Engineer
Male,United States,Bachelor's degree,
Male,Poland,I did not complete any formal education past high school,
Male,South Korea,Bachelor's degree,Business Analyst
Male,Brazil,,
Male,Turkey,Master's degree,
Male,Denmark,Master's degree,Software Developer/Software Engineer
Male,Other,Master's degree,Engineer
Male,Canada,Some college/university study without earning a bachelor's degree,
Female,United States,Master's degree,
Female,South Korea,Master's degree,Researcher
Male,Pakistan,Bachelor's degree,Engineer
Male,Nigeria,Bachelor's degree,Software Developer/Software Engineer
Male,United States,Doctoral degree,Other
Male,United States,Master's degree,
Male,France,Doctoral degree,Researcher
Male,United States,Master's degree,Business Analyst
Male,United States,Doctoral degree,Scientist/Researcher
Male,Belgium,Bachelor's degree,Other
Male,United States,Master's degree,
Male,United States,Bachelor's degree,
Male,Russia,Bachelor's degree,Other
Male,New Zealand,Doctoral degree,Data Scientist
Male,United States,Bachelor's degree,Other
Male,Other,Master's degree,Researcher
Male,Russia,Bachelor's degree,Other
Male,United States,Bachelor's degree,Researcher
Female,United States,Bachelor's degree,Data Analyst
Male,United States,Bachelor's degree,
Male,Germany,Master's degree,
Female,Japan,Master's degree,Engineer
Female,France,Master's degree,Data Analyst
Female,United Kingdom,I did not complete any formal education past high school,Data Analyst
Male,Nigeria,Master's degree,Business Analyst
Male,Other,Master's degree,Data Scientist
Female,United States,Master's degree,Other
Male,United States,I did not complete any formal education past high school,
Female,Australia,Bachelor's degree,
Female,United States,Master's degree,Software Developer/Software Engineer
,,Bachelor's degree,Scientist/Researcher
Male,Chile,Doctoral degree,Machine Learning Engineer
Male,United States,Bachelor's degree,Researcher
Male,Colombia,Bachelor's degree,Machine Learning Engineer
Male,United States,Master's degree,Data Analyst
Male,Mexico,Bachelor's degree,Engineer
Male,Russia,Bachelor's degree,
Male,Colombia,Bachelor's degree,Business Analyst
Male,United States,Bachelor's degree,Software Developer/Software Engineer
Male,United States,Master's degree,Engineer
Male,United States,Professional degree,Data Scientist
Male,Canada,Some college/university study without earning a bachelor's degree,Other
Female,Australia,Master's degree,Data Analyst
Male,Canada,Bachelor's degree,
Female,United States,Master's degree,Statistician
Male,United States,Master's degree,Data Scientist
Male,Canada,Bachelor's degree,
Male,India,Some college/university study without earning a bachelor's degree,
Male,Mexico,Bachelor's degree,
Male,United States,Master's degree,Predictive Modeler
Male,New Zealand,,
A different identity,United States,Master's degree,Software Developer/Software Engineer
Male,Mexico,Some college/university study without earning a bachelor's degree,Other
Male,United States,Bachelor's degree,
Male,United States,Master's degree,Software Developer/Software Engineer
Male,United States,,
Female,United States,Master's degree,Data Analyst
Male,United States,Bachelor's degree,Software Developer/Software Engineer
Male,Egypt,Bachelor's degree,
Male,Brazil,Professional degree,Machine Learning Engineer
Female,Malaysia,Bachelor's degree,Other
,,Bachelor's degree,Data Scientist
Male,United States,,
Female,United States,Master's degree,Data Scientist
Male,United States,Bachelor's degree,Business Analyst
Male,Italy,Master's degree,Other
Male,United States,,
Male,France,Master's degree,Statistician
Male,Australia,Bachelor's degree,
Female,Australia,,
Male,South Africa,,
Female,United States,Master's degree,
Male,United States,Bachelor's degree,Software Developer/Software Engineer
Male,Netherlands,I did not complete any formal education past high school,
Male,United Kingdom,Master's degree,Scientist/Researcher
Female,Australia,I did not complete any formal education past high school,Programmer
Male,People 's Republic of China,Bachelor's degree,
Female,United States,Master's degree,
Male,Ukraine,Master's degree,Data Analyst
Male,Ireland,Master's degree,Data Scientist
Male,Portugal,Doctoral degree,Scientist/Researcher
Male,Australia,Bachelor's degree,
Female,United States,Bachelor's degree,
Male,United States,Doctoral degree,Data Scientist
Female,United States,Bachelor's degree,Researcher
Male,United States,I did not complete any formal education past high school,
Male,United States,Master's degree,Data Scientist
Female,Australia,Bachelor's degree,
Male,Brazil,Professional degree,Software Developer/Software Engineer
Female,Singapore,Doctoral degree,Data Scientist
Female,United States,Master's degree,Predictive Modeler
Male,United States,Master's degree,
Male,United States,Bachelor's degree,Programmer
Male,Colombia,Bachelor's degree,Computer Scientist
Female,United States,Master's degree,
Male,India,Bachelor's degree,
Male,United States,Doctoral degree,Business Analyst
Male,Other,Master's degree,Software Developer/Software Engineer
Male,Brazil,Master's degree,Data Scientist
Male,United States,Master's degree,Data Scientist
Male,United States,Bachelor's degree,Software Developer/Software Engineer
Male,United States,Bachelor's degree,Other
Female,United States,Doctoral degree,Data Scientist
Male,Australia,Bachelor's degree,Predictive Modeler
Female,India,Bachelor's degree,Software Developer/Software Engineer
Male,United States,Bachelor's degree,Other
Male,Brazil,Bachelor's degree,Engineer
Male,United States,Master's degree,
Male,United States,Bachelor's degree,
Male,United States,Doctoral degree,DBA/Database Engineer
Male,India,Bachelor's degree,
Male,Argentina,Bachelor's degree,Computer Scientist
Female,People 's Republic of China,Master's degree,Other
Male,Pakistan,Some college/university study without earning a bachelor's degree,
Male,United States,Master's degree,Other
Female,United States,Master's degree,
Female,United States,,
Male,United States,Bachelor's degree,Business Analyst
Male,Hong Kong,Doctoral degree,Predictive Modeler
Male,United States,Some college/university study without earning a bachelor's degree,
Female,United States,Master's degree,Data Scientist
Female,United States,Master's degree,Machine Learning Engineer
Male,Other,Bachelor's degree,Programmer
Male,United States,Master's degree,Data Scientist
Male,India,Master's degree,Statistician
Male,Australia,Bachelor's degree,Data Scientist
Male,United States,Bachelor's degree,Engineer
Female,Australia,Master's degree,
Male,United States,Master's degree,Software Developer/Software Engineer
Male,South Korea,Doctoral degree,Scientist/Researcher
Female,Brazil,,
Female,United States,Master's degree,DBA/Database Engineer
Male,Canada,Bachelor's degree,Business Analyst
Male,India,Doctoral degree,Statistician
Male,United States,Master's degree,Data Scientist
Male,United Kingdom,Master's degree,Data Analyst
Female,United States,Doctoral degree,
Male,United States,Bachelor's degree,Data Analyst
Male,Argentina,Bachelor's degree,Other
Male,United States,Bachelor's degree,Software Developer/Software Engineer
Male,Other,Bachelor's degree,Business Analyst
Male,United States,Master's degree,Data Scientist
Male,Other,Bachelor's degree,
Female,India,I did not complete any formal education past high school,
Male,Republic of China,Master's degree,
Male,United States,Master's degree,Data Miner
Female,United States,Bachelor's degree,
Male,Brazil,Master's degree,
Male,United Kingdom,Master's degree,
Male,Germany,Bachelor's degree,Data Scientist
Male,United States,Master's degree,Other
Male,People 's Republic of China,Master's degree,Data Analyst
Male,India,Bachelor's degree,
Male,Australia,Bachelor's degree,Data Analyst
Male,United States,Doctoral degree,Data Scientist
Female,United States,Master's degree,Data Analyst
Female,United States,Doctoral degree,Data Analyst
Male,United States,Master's degree,Software Developer/Software Engineer
Male,United States,Master's degree,Other
Male,Portugal,Master's degree,Programmer
Female,United States,Master's degree,
Female,Canada,Doctoral degree,
Male,Canada,Master's degree,Data Scientist
Male,Australia,Master's degree,Data Scientist
Male,United States,Master's degree,Software Developer/Software Engineer
Female,Spain,Master's degree,
Male,India,Master's degree,
Male,United States,Master's degree,Data Analyst
Male,Canada,Bachelor's degree,Software Developer/Software Engineer
Male,United States,Bachelor's degree,Data Scientist
Male,India,Some college/university study without earning a bachelor's degree,
Male,United States,Doctoral degree,Data Scientist
Male,United States,Master's degree,Data Scientist
Male,United States,Bachelor's degree,Other
Male,United States,Bachelor's degree,
Male,People 's Republic of China,Bachelor's degree,DBA/Database Engineer
Male,Canada,Some college/university study without earning a bachelor's degree,Data Scientist
Female,New Zealand,Bachelor's degree,
Male,Colombia,Professional degree,Predictive Modeler
Female,United States,,
Male,Brazil,Bachelor's degree,Software Developer/Software Engineer
Male,Other,,
Male,United States,Some college/university study without earning a bachelor's degree,Data Analyst
Male,Russia,Doctoral degree,Machine Learning Engineer
Male,United States,Master's degree,Data Scientist
Male,Other,Master's degree,Data Scientist
Male,People 's Republic of China,Master's degree,
Male,Indonesia,Bachelor's degree,
Male,Australia,Master's degree,Programmer
Male,United States,Bachelor's degree,
Male,United States,Master's degree,Scientist/Researcher
Male,United States,Bachelor's degree,Other
Male,Japan,Doctoral degree,Scientist/Researcher
Male,United States,Bachelor's degree,Business Analyst
Male,United States,Bachelor's degree,Data Analyst
Male,Japan,Bachelor's degree,
Male,United States,Master's degree,Software Developer/Software Engineer
Male,Brazil,Doctoral degree,Scientist/Researcher
Male,United States,Master's degree,Business Analyst
Male,Taiwan,Master's degree,
Male,United States,Master's degree,
Male,United States,Doctoral degree,Scientist/Researcher
Male,United States,I did not complete any formal education past high school,Other
Male,South Korea,Doctoral degree,Researcher
Male,Germany,Doctoral degree,Scientist/Researcher
Female,Philippines,Bachelor's degree,Data Analyst
Male,United States,Bachelor's degree,Business Analyst
Male,Australia,Bachelor's degree,Business Analyst
Female,United States,Doctoral degree,Data Scientist
Female,United States,Master's degree,
Male,United States,Bachelor's degree,Business Analyst
Male,People 's Republic of China,Master's degree,Machine Learning Engineer
Male,Australia,Bachelor's degree,
Male,Canada,Doctoral degree,Researcher
Female,United States,Bachelor's degree,Data Analyst
Female,Australia,Bachelor's degree,Data Analyst
Male,United States,I did not complete any formal education past high school,
Male,United States,Master's degree,Scientist/Researcher
Male,India,Some college/university study without earning a bachelor's degree,
Male,Colombia,Master's degree,Data Analyst
Male,Japan,Master's degree,Software Developer/Software Engineer
Female,People 's Republic of China,Bachelor's degree,
Male,India,Bachelor's degree,
A different identity,People 's Republic of China,Bachelor's degree,
Female,Singapore,I did not complete any formal education past high school,
Male,People 's Republic of China,Some college/university study without earning a bachelor's degree,Data Miner
Male,Portugal,Bachelor's degree,
Male,United States,Master's degree,
Male,Argentina,,
Female,India,Master's degree,
Male,Indonesia,Some college/university study without earning a bachelor's degree,Software Developer/Software Engineer
Male,India,Bachelor's degree,
Male,United States,Master's degree,Computer Scientist
Female,United States,Bachelor's degree,Software Developer/Software Engineer
Male,United States,Master's degree,Data Analyst
Male,United States,Bachelor's degree,Data Scientist
Male,Singapore,Bachelor's degree,Other
Male,United States,I did not complete any formal education past high school,
Female,United States,Doctoral degree,Data Scientist
Male,South Korea,I did not complete any formal education past high school,Programmer
Male,Brazil,Some college/university study without earning a bachelor's degree,Programmer
Male,Other,,Software Developer/Software Engineer
Female,Indonesia,Bachelor's degree,
Male,United States,Master's degree,Software Developer/Software Engineer
Male,Brazil,Bachelor's degree,Data Scientist
Male,Taiwan,Bachelor's degree,Other
Male,Denmark,Master's degree,
Male,Singapore,Master's degree,Business Analyst
Male,India,Bachelor's degree,Software Developer/Software Engineer
Female,United States,Master's degree,Other
Female,United States,Bachelor's degree,Data Analyst
Male,Other,Bachelor's degree,Machine Learning Engineer
Male,Brazil,Some college/university study without earning a bachelor's degree,
Male,Belgium,,
Male,Indonesia,I did not complete any formal education past high school,
Male,Colombia,Professional degree,Data Scientist
Male,Brazil,Doctoral degree,Software Developer/Software Engineer
A different identity,Brazil,Some college/university study without earning a bachelor's degree,DBA/Database Engineer
Male,United States,Bachelor's degree,Software Developer/Software Engineer
Male,United States,Master's degree,
Male,Other,Bachelor's degree,Engineer
Male,Brazil,Bachelor's degree,
Male,Canada,Bachelor's degree,Data Analyst
Male,India,Master's degree,
Female,Indonesia,Bachelor's degree,Other
Male,United States,Master's degree,Business Analyst
Male,Japan,I did not complete any formal education past high school,
Male,Brazil,,
Male,United States,Bachelor's degree,Data Scientist
Female,United States,Master's degree,Business Analyst
Male,United States,Doctoral degree,Data Scientist
Male,Canada,Master's degree,Other
Male,United States,Master's degree,Predictive Modeler
Male,Germany,Master's degree,
Male,United States,Master's degree,Engineer
Male,Other,Some college/university study without earning a bachelor's degree,
Male,Ireland,Master's degree,DBA/Database Engineer
Male,United States,Master's degree,Other
Male,United States,Bachelor's degree,
Female,United States,Bachelor's degree,Data Analyst
Female,United States,Bachelor's degree,Data Analyst
Male,People 's Republic of China,Bachelor's degree,Machine Learning Engineer
Male,New Zealand,Bachelor's degree,Machine Learning Engineer
Male,South Korea,Master's degree,Software Developer/Software Engineer
Male,Russia,,
Male,United States,Master's degree,Data Scientist
Male,Other,Some college/university study without earning a bachelor's degree,Data Analyst
Male,United States,Some college/university study without earning a bachelor's degree,Data Miner
Male,Canada,Bachelor's degree,Other
Male,United States,Master's degree,Computer Scientist
Male,United States,Doctoral degree,Data Scientist
Male,United States,I did not complete any formal education past high school,
Male,India,Master's degree,Business Analyst
Male,People 's Republic of China,Bachelor's degree,
Male,United States,,
Male,Brazil,,
Male,Australia,Master's degree,
Male,People 's Republic of China,Bachelor's degree,
Female,United States,Master's degree,Predictive Modeler
Female,United States,,
Male,People 's Republic of China,Master's degree,
Male,United States,Doctoral degree,Scientist/Researcher
Male,United States,Master's degree,Other
Male,People 's Republic of China,Bachelor's degree,
Male,United States,Bachelor's degree,
Male,United States,I did not complete any formal education past high school,Other
Male,India,Some college/university study without earning a bachelor's degree,
Male,Other,Master's degree,
Male,United States,Doctoral degree,Other
Male,Mexico,Bachelor's degree,Data Scientist
Female,Belgium,Master's degree,Other
Female,Taiwan,Bachelor's degree,
Male,United States,Bachelor's degree,Data Analyst
Male,United States,Master's degree,Operations Research Practitioner
Male,Singapore,Bachelor's degree,
Male,Australia,,
Male,United States,Master's degree,Operations Research Practitioner
Male,Australia,Master's degree,Business Analyst
Male,People 's Republic of China,,
Male,People 's Republic of China,Master's degree,
Male,United States,Bachelor's degree,
Male,Malaysia,Bachelor's degree,Other
Male,Russia,,
Male,Colombia,Master's degree,Machine Learning Engineer
Female,Canada,Master's degree,
Male,Canada,Doctoral degree,Data Scientist
Male,Hong Kong,Bachelor's degree,Machine Learning Engineer
Male,People 's Republic of China,Bachelor's degree,Machine Learning Engineer
Male,United States,Master's degree,Business Analyst
Male,Indonesia,Bachelor's degree,
Female,Australia,Master's degree,Business Analyst
Male,Taiwan,Bachelor's degree,Data Analyst
Male,Egypt,Some college/university study without earning a bachelor's degree,
Female,India,Bachelor's degree,
Male,United States,Doctoral degree,Data Scientist
Male,United States,Doctoral degree,Data Scientist
Female,United States,,
