Gender,Country ,Degree ,Job Title
Male,United States of America,Doctoral degree,"Computer science (software engineering, etc.)"
Male,Japan,Master’s degree,"Computer science (software engineering, etc.)"
Male,Other,Master’s degree,"Information technology, networking, or system administration"
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,Russia,Master’s degree,"A business discipline (accounting, economics, finance, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,"Iran, Islamic Republic of...",Master’s degree,"Information technology, networking, or system administration"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,Austria,Professional degree,Mathematics or statistics
Male,Italy,Master’s degree,"A business discipline (accounting, economics, finance, etc.)"
Male,Sweden,Bachelor’s degree,Mathematics or statistics
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,Canada,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)"
Male,Mexico,Doctoral degree,Engineering (non-computer focused)
Male,Germany,Doctoral degree,Physics or astronomy
Male,United States of America,Professional degree,"A business discipline (accounting, economics, finance, etc.)"
Male,Netherlands,Master’s degree,Engineering (non-computer focused)
Male,United States of America,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,I do not wish to disclose my location,Doctoral degree,Engineering (non-computer focused)
Male,Sweden,Master’s degree,"A business discipline (accounting, economics, finance, etc.)"
Male,Ukraine,Master’s degree,"Computer science (software engineering, etc.)"
Male,Russia,Doctoral degree,Mathematics or statistics
Male,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,United States of America,Doctoral degree,"Social sciences (anthropology, psychology, sociology, etc.)"
Male,United States of America,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)"
Female,Singapore,Master’s degree,Mathematics or statistics
Male,United States of America,Some college/university study without earning a bachelor’s degree,"Information technology, networking, or system administration"
Male,United States of America,Doctoral degree,Other
Male,Spain,Master’s degree,Engineering (non-computer focused)
Male,United States of America,Master’s degree,Engineering (non-computer focused)
Female,United States of America,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Female,United States of America,Doctoral degree,"Social sciences (anthropology, psychology, sociology, etc.)"
Male,France,Master’s degree,Mathematics or statistics
Male,Indonesia,Master’s degree,"Computer science (software engineering, etc.)"
Male,France,Doctoral degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,Germany,Doctoral degree,"Computer science (software engineering, etc.)"
Male,Brazil,Master’s degree,"A business discipline (accounting, economics, finance, etc.)"
Male,Switzerland,Master’s degree,"Computer science (software engineering, etc.)"
Male,Sweden,Doctoral degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,Spain,Master’s degree,Physics or astronomy
Male,Ukraine,Master’s degree,"Computer science (software engineering, etc.)"
Prefer not to say,India,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)"
Male,United States of America,Doctoral degree,Physics or astronomy
Female,United States of America,Some college/university study without earning a bachelor’s degree,"Social sciences (anthropology, psychology, sociology, etc.)"
Male,United States of America,Master’s degree,"Computer science (software engineering, etc.)"
Male,United States of America,Master’s degree,"Humanities (history, literature, philosophy, etc.)"
Male,India,Master’s degree,Mathematics or statistics
Male,United States of America,Bachelor’s degree,Mathematics or statistics
Female,Hungary,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)"
Female,United States of America,Bachelor’s degree,Mathematics or statistics
Male,United States of America,Some college/university study without earning a bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)"
Male,United States of America,Doctoral degree,Engineering (non-computer focused)
Male,South Africa,Master’s degree,Engineering (non-computer focused)
Male,Other,Doctoral degree,"Computer science (software engineering, etc.)"
Female,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,"Humanities (history, literature, philosophy, etc.)"
Female,Netherlands,Master’s degree,"A business discipline (accounting, economics, finance, etc.)"
Male,Italy,Master’s degree,"Information technology, networking, or system administration"
Male,Argentina,Master’s degree,Other
Male,Brazil,Master’s degree,Engineering (non-computer focused)
Male,Spain,Master’s degree,"Information technology, networking, or system administration"
Female,United States of America,Master’s degree,Engineering (non-computer focused)
Male,I do not wish to disclose my location,Bachelor’s degree,Engineering (non-computer focused)
Male,China,Doctoral degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,"Information technology, networking, or system administration"
Male,United States of America,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Professional degree,Mathematics or statistics
Male,Other,Master’s degree,Mathematics or statistics
Male,India,Master’s degree,Mathematics or statistics
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,Canada,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Doctoral degree,"Information technology, networking, or system administration"
Male,Russia,Master’s degree,"Computer science (software engineering, etc.)"
Male,United States of America,Doctoral degree,"Information technology, networking, or system administration"
Male,Mexico,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,United States of America,Master’s degree,"Computer science (software engineering, etc.)"
Male,France,Master’s degree,"Computer science (software engineering, etc.)"
Male,South Korea,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Engineering (non-computer focused)
Male,Denmark,Bachelor’s degree,Engineering (non-computer focused)
Male,Germany,Master’s degree,Mathematics or statistics
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,United States of America,Master’s degree,"Computer science (software engineering, etc.)"
Male,Singapore,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,Malaysia,I prefer not to answer,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,Hong Kong (S.A.R.),Doctoral degree,Engineering (non-computer focused)
Male,Austria,Master’s degree,"Computer science (software engineering, etc.)"
Female,Egypt,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,Russia,Master’s degree,Mathematics or statistics
Male,Japan,Doctoral degree,Engineering (non-computer focused)
Male,Spain,Doctoral degree,"Computer science (software engineering, etc.)"
Female,China,Master’s degree,Engineering (non-computer focused)
Male,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,Environmental science or geology
Male,China,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Bachelor’s degree,Mathematics or statistics
Male,China,Bachelor’s degree,"Computer science (software engineering, etc.)"
Female,China,Master’s degree,Engineering (non-computer focused)
Male,China,Master’s degree,Engineering (non-computer focused)
Female,China,Bachelor’s degree,Engineering (non-computer focused)
Male,China,I prefer not to answer,I never declared a major
Male,China,Master’s degree,"Information technology, networking, or system administration"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Information technology, networking, or system administration"
Male,China,Master’s degree,"Information technology, networking, or system administration"
Male,China,Doctoral degree,Mathematics or statistics
Female,China,Doctoral degree,Mathematics or statistics
Male,China,Master’s degree,"Information technology, networking, or system administration"
Female,China,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"A business discipline (accounting, economics, finance, etc.)"
Male,China,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Doctoral degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Information technology, networking, or system administration"
Prefer not to say,China,Doctoral degree,"Medical or life sciences (biology, chemistry, medicine, etc.)"
Male,China,Professional degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Bachelor’s degree,"Computer science (software engineering, etc.)"
Female,China,Master’s degree,Engineering (non-computer focused)
Male,China,Doctoral degree,"Computer science (software engineering, etc.)"
Male,China,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Doctoral degree,"Computer science (software engineering, etc.)"
Male,China,Doctoral degree,Mathematics or statistics
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Information technology, networking, or system administration"
Male,China,Doctoral degree,Engineering (non-computer focused)
Male,China,Bachelor’s degree,Engineering (non-computer focused)
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Bachelor’s degree,Engineering (non-computer focused)
Male,China,Master’s degree,Engineering (non-computer focused)
Male,China,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)"
Female,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,Physics or astronomy
Male,China,Doctoral degree,Other
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,I prefer not to answer,"A business discipline (accounting, economics, finance, etc.)"
Male,China,Bachelor’s degree,Engineering (non-computer focused)
Male,China,Master’s degree,Engineering (non-computer focused)
Male,China,Master’s degree,Mathematics or statistics
Female,China,Doctoral degree,"Information technology, networking, or system administration"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Bachelor’s degree,Engineering (non-computer focused)
Male,China,Master’s degree,Mathematics or statistics
Male,China,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Bachelor’s degree,Mathematics or statistics
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"A business discipline (accounting, economics, finance, etc.)"
Male,China,Professional degree,Engineering (non-computer focused)
Male,China,Bachelor’s degree,Physics or astronomy
Male,China,Bachelor’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)"
Male,China,Master’s degree,Mathematics or statistics
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Prefer not to say,United States of America,No formal education past high school,
Female,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Female,China,Master’s degree,"Information technology, networking, or system administration"
Female,China,Master’s degree,Mathematics or statistics
Male,China,Master’s degree,Engineering (non-computer focused)
Male,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Bachelor’s degree,"Information technology, networking, or system administration"
Male,China,Some college/university study without earning a bachelor’s degree,"Information technology, networking, or system administration"
Male,China,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)"
Male,China,Master’s degree,Engineering (non-computer focused)
Male,China,Bachelor’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,Mathematics or statistics
Male,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Bachelor’s degree,Engineering (non-computer focused)
Male,China,Master’s degree,Physics or astronomy
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,China,Bachelor’s degree,Engineering (non-computer focused)
Female,India,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,Mathematics or statistics
Male,China,No formal education past high school,
Male,China,Bachelor’s degree,"Information technology, networking, or system administration"
Male,India,Bachelor’s degree,"Information technology, networking, or system administration"
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Female,China,Master’s degree,Mathematics or statistics
Female,India,Doctoral degree,"Computer science (software engineering, etc.)"
Male,India,I prefer not to answer,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,I never declared a major
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,I prefer not to answer,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Female,China,Bachelor’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Master’s degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Female,India,Professional degree,"Computer science (software engineering, etc.)"
Female,China,Master’s degree,"Computer science (software engineering, etc.)"
Prefer not to say,China,Master’s degree,Other
Male,India,Master’s degree,Engineering (non-computer focused)
Male,India,Master’s degree,Physics or astronomy
Male,China,Master’s degree,Engineering (non-computer focused)
Male,India,Master’s degree,Physics or astronomy
Male,India,Master’s degree,Mathematics or statistics
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Mathematics or statistics
Male,India,Professional degree,"Computer science (software engineering, etc.)"
Female,India,Master’s degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Engineering (non-computer focused)
Male,China,Doctoral degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Physics or astronomy
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Doctoral degree,"Computer science (software engineering, etc.)"
Female,India,Master’s degree,Other
Male,India,Master’s degree,Engineering (non-computer focused)
Male,India,I prefer not to answer,Engineering (non-computer focused)
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,I never declared a major
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Professional degree,Engineering (non-computer focused)
Male,India,Master’s degree,"A business discipline (accounting, economics, finance, etc.)"
Male,China,Master’s degree,Other
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Professional degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,China,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Other
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,Mathematics or statistics
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Professional degree,Engineering (non-computer focused)
Male,China,Bachelor’s degree,"Information technology, networking, or system administration"
Male,India,Bachelor’s degree,"Information technology, networking, or system administration"
Male,India,Doctoral degree,"Information technology, networking, or system administration"
Female,India,Doctoral degree,"Information technology, networking, or system administration"
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Female,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Female,India,Doctoral degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Bachelor’s degree,Mathematics or statistics
Male,India,Master’s degree,Engineering (non-computer focused)
Male,India,Master’s degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Female,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Engineering (non-computer focused)
Male,India,Doctoral degree,Engineering (non-computer focused)
Male,India,I prefer not to answer,Engineering (non-computer focused)
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Female,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Mathematics or statistics
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Engineering (non-computer focused)
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,"Information technology, networking, or system administration"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,Mathematics or statistics
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Engineering (non-computer focused)
Male,India,Master’s degree,Mathematics or statistics
Female,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Doctoral degree,Mathematics or statistics
Male,India,Bachelor’s degree,Physics or astronomy
Male,India,Doctoral degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Doctoral degree,"Computer science (software engineering, etc.)"
Female,India,Master’s degree,Engineering (non-computer focused)
Male,India,I prefer not to answer,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Information technology, networking, or system administration"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Some college/university study without earning a bachelor’s degree,Other
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Mathematics or statistics
Female,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Professional degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Other
Male,India,Master’s degree,Environmental science or geology
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Master’s degree,Physics or astronomy
Male,India,Some college/university study without earning a bachelor’s degree,Engineering (non-computer focused)
Female,China,Master’s degree,Other
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,I prefer not to answer,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,No formal education past high school,
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Other
Female,India,Bachelor’s degree,Engineering (non-computer focused)
Male,China,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Professional degree,Mathematics or statistics
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Female,India,Bachelor’s degree,Other
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Master’s degree,"A business discipline (accounting, economics, finance, etc.)"
Male,India,Master’s degree,Mathematics or statistics
Male,India,Master’s degree,"A business discipline (accounting, economics, finance, etc.)"
Female,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Female,India,Professional degree,Engineering (non-computer focused)
Male,India,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Professional degree,Other
Male,India,Professional degree,"Computer science (software engineering, etc.)"
Male,India,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Female,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Prefer not to say,China,Professional degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Female,China,Master’s degree,Other
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Female,India,Master’s degree,Mathematics or statistics
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Female,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,China,I prefer not to answer,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"A business discipline (accounting, economics, finance, etc.)"
Male,India,Bachelor’s degree,"Information technology, networking, or system administration"
Male,India,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Engineering (non-computer focused)
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Information technology, networking, or system administration"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Physics or astronomy
Male,India,Professional degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Female,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Some college/university study without earning a bachelor’s degree,"Social sciences (anthropology, psychology, sociology, etc.)"
Female,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,"Information technology, networking, or system administration"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Master’s degree,Other
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Female,India,Master’s degree,"A business discipline (accounting, economics, finance, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Master’s degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,"Information technology, networking, or system administration"
Male,China,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Other
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,China,Doctoral degree,"Information technology, networking, or system administration"
Male,India,Master’s degree,Engineering (non-computer focused)
Male,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Doctoral degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,China,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Mathematics or statistics
Female,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Doctoral degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Engineering (non-computer focused)
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Mathematics or statistics
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,Engineering (non-computer focused)
Male,China,I prefer not to answer,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Doctoral degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,India,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)"
