Gender,Country ,Job Title,Degree
Female,United States of America,Student,Doctoral degree
Male,France,Data Scientist,Master’s degree
Prefer to self-describe,United Kingdom of Great Britain and Northern Ireland,Research Scientist,Doctoral degree
Male,Other,Other,Master’s degree
Prefer not to say,United States of America,Data Scientist,Master’s degree
Male,Russia,Data Scientist,Bachelor’s degree
Male,India,Software Engineer,Bachelor’s degree
Male,India,Student,Master’s degree
Male,India,Data Scientist,Bachelor’s degree
Male,Australia,Software Engineer,Master’s degree
Male,India,Student,Some college/university study without earning a bachelor’s degree
Male,Brazil,Student,Bachelor’s degree
Female,India,Other,Master’s degree
Male,India,Student,Bachelor’s degree
Male,Japan,Research Scientist,Doctoral degree
Male,Canada,Research Scientist,Doctoral degree
Male,India,Student,Some college/university study without earning a bachelor’s degree
Male,United States of America,Data Engineer,Master’s degree
Male,Portugal,Data Scientist,Doctoral degree
Male,United States of America,Data Engineer,Master’s degree
Male,Russia,Software Engineer,Bachelor’s degree
Female,India,Student,Bachelor’s degree
Male,Canada,Business Analyst,Master’s degree
Female,United States of America,Data Engineer,Master’s degree
Male,France,Data Scientist,Master’s degree
Male,United States of America,Data Scientist,Master’s degree
Male,Canada,Research Scientist,Doctoral degree
Male,Poland,Research Scientist,Master’s degree
Male,Indonesia,Data Engineer,Master’s degree
Male,Netherlands,Software Engineer,I prefer not to answer
Male,Italy,Data Scientist,Some college/university study without earning a bachelor’s degree
Male,France,Software Engineer,Master’s degree
Male,India,Software Engineer,Bachelor’s degree
Male,Brazil,Business Analyst,Bachelor’s degree
Male,United States of America,Business Analyst,Master’s degree
Male,India,Business Analyst,Bachelor’s degree
Male,Czech Republic,Research Scientist,Master’s degree
Prefer not to say,United States of America,Data Scientist,Master’s degree
Male,India,Student,No formal education past high school
Female,Other,Software Engineer,Master’s degree
Male,Pakistan,Software Engineer,Bachelor’s degree
Male,United Kingdom of Great Britain and Northern Ireland,Data Engineer,Master’s degree
Male,United States of America,Data Scientist,Master’s degree
Male,Spain,Student,Doctoral degree
Male,United States of America,Student,Doctoral degree
Female,United States of America,Data Engineer,Master’s degree
Male,India,Student,Bachelor’s degree
Male,Sweden,Data Scientist,Doctoral degree
Male,United States of America,Data Analyst,Master’s degree
Female,Morocco,Not employed,Master’s degree
Male,India,Data Scientist,Master’s degree
Male,India,Other,I prefer not to answer
Male,Spain,Data Scientist,Master’s degree
Male,India,Student,Bachelor’s degree
Male,Greece,Not employed,Master’s degree
Male,Russia,Data Scientist,Professional degree
Male,United States of America,Data Analyst,Bachelor’s degree
Prefer not to say,Other,Software Engineer,Doctoral degree
Male,India,Data Engineer,Master’s degree
Male,United States of America,Data Scientist,Master’s degree
Male,India,Student,Doctoral degree
Male,United States of America,Data Scientist,Doctoral degree
Male,Pakistan,Data Scientist,Master’s degree
Male,Chile,Data Scientist,Master’s degree
Male,Other,Not employed,No formal education past high school
Male,India,Student,Bachelor’s degree
Male,India,Not employed,Bachelor’s degree
Male,France,Software Engineer,Master’s degree
Female,India,Software Engineer,Bachelor’s degree
Male,India,Student,Bachelor’s degree
Male,Hong Kong (S.A.R.),Data Analyst,Professional degree
Female,Mexico,Software Engineer,Master’s degree
Male,India,Software Engineer,Master’s degree
Male,Spain,Research Scientist,Doctoral degree
Female,India,Data Scientist,Master’s degree
Male,India,Not employed,Bachelor’s degree
Male,South Africa,Data Scientist,Bachelor’s degree
Male,Hungary,Student,Doctoral degree
Male,France,Research Scientist,Doctoral degree
Male,India,Data Scientist,Master’s degree
Male,United States of America,Software Engineer,Master’s degree
Female,Argentina,Data Analyst,Professional degree
Male,Turkey,Data Scientist,Doctoral degree
Male,United States of America,Software Engineer,Bachelor’s degree
Male,Ireland,Data Scientist,Master’s degree
Male,Russia,Student,Master’s degree
Male,India,Student,Bachelor’s degree
Male,France,Research Scientist,Master’s degree
Male,Singapore,,
Male,India,Business Analyst,Master’s degree
Male,Portugal,Software Engineer,Master’s degree
Male,United Kingdom of Great Britain and Northern Ireland,Software Engineer,Bachelor’s degree
Male,India,Data Scientist,Master’s degree
Female,United States of America,Statistician,Master’s degree
Male,Pakistan,Data Scientist,Bachelor’s degree
Male,United States of America,Data Analyst,I prefer not to answer
Male,Brazil,Statistician,Professional degree
Male,Israel,Other,Bachelor’s degree
Male,Russia,Software Engineer,Bachelor’s degree
Male,Nigeria,Research Scientist,Bachelor’s degree
Female,India,Student,Master’s degree
Male,India,Student,Bachelor’s degree
Male,India,Data Scientist,Bachelor’s degree
Male,Japan,Software Engineer,Bachelor’s degree
Male,United States of America,Data Scientist,Master’s degree
Male,Other,Data Scientist,Master’s degree
Male,Italy,Other,Doctoral degree
Female,Italy,Data Scientist,Master’s degree
Female,India,Student,Bachelor’s degree
Male,India,Student,Bachelor’s degree
Male,France,Data Scientist,Master’s degree
Male,India,Student,Master’s degree
Male,Ukraine,Software Engineer,Bachelor’s degree
Male,India,Student,Master’s degree
Male,India,Data Scientist,Master’s degree
Male,Japan,Data Scientist,Master’s degree
Male,Italy,Not employed,No formal education past high school
Male,Russia,Product/Project Manager,Professional degree
Female,Taiwan,Product/Project Manager,Master’s degree
Female,United States of America,Data Scientist,Bachelor’s degree
Male,Other,Research Scientist,Doctoral degree
Female,India,Software Engineer,I prefer not to answer
Male,Other,Research Scientist,Doctoral degree
Male,Egypt,Data Scientist,Master’s degree
Male,Brazil,Software Engineer,Master’s degree
Male,Brazil,Data Scientist,Bachelor’s degree
Male,Russia,Data Scientist,Doctoral degree
Male,United States of America,Data Scientist,Master’s degree
Male,India,Software Engineer,Master’s degree
Female,Brazil,Product/Project Manager,Doctoral degree
Female,Other,Student,Master’s degree
Female,Ukraine,Software Engineer,Bachelor’s degree
Male,Brazil,Student,No formal education past high school
Male,India,Student,Master’s degree
Male,Bangladesh,Student,Bachelor’s degree
Female,United States of America,Data Scientist,Master’s degree
Male,Morocco,Statistician,Doctoral degree
Male,Canada,Data Scientist,Master’s degree
Female,United States of America,Student,Doctoral degree
Female,Canada,Data Scientist,Master’s degree
Male,United States of America,Business Analyst,Master’s degree
Female,United States of America,Student,Doctoral degree
Male,Brazil,Other,Bachelor’s degree
Male,United States of America,Other,Doctoral degree
Male,Hungary,Data Analyst,Some college/university study without earning a bachelor’s degree
Male,Belarus,Data Scientist,Doctoral degree
Male,Spain,Data Analyst,Master’s degree
Male,United States of America,Data Analyst,Bachelor’s degree
Male,India,Student,Master’s degree
Female,India,Data Scientist,Master’s degree
Male,Canada,Data Scientist,Bachelor’s degree
Female,Nigeria,Student,Bachelor’s degree
Male,India,Business Analyst,Master’s degree
Male,South Korea,Student,Bachelor’s degree
Male,India,Data Scientist,Master’s degree
Female,Other,Student,Bachelor’s degree
Male,France,Data Scientist,Master’s degree
Male,Other,Data Scientist,Doctoral degree
Male,Colombia,Research Scientist,Doctoral degree
Male,Brazil,Software Engineer,Bachelor’s degree
Male,Germany,Research Scientist,Doctoral degree
Male,United States of America,Statistician,Professional degree
Male,India,Data Scientist,Master’s degree
Male,Japan,Research Scientist,Doctoral degree
Male,Australia,Not employed,Doctoral degree
Male,Brazil,Not employed,Bachelor’s degree
Male,Taiwan,Student,Master’s degree
Male,India,Business Analyst,Professional degree
Male,United States of America,Research Scientist,Doctoral degree
Male,Mexico,Student,Some college/university study without earning a bachelor’s degree
Female,United States of America,Data Scientist,Master’s degree
Male,India,Product/Project Manager,Master’s degree
Male,Egypt,Data Scientist,Bachelor’s degree
Male,India,Data Scientist,Master’s degree
Male,India,Software Engineer,Bachelor’s degree
Male,Sweden,Other,Master’s degree
Female,Nigeria,Data Scientist,Bachelor’s degree
Male,United States of America,Data Analyst,Master’s degree
Male,Canada,Software Engineer,Bachelor’s degree
Male,Norway,Data Scientist,Master’s degree
Male,Pakistan,Student,Master’s degree
Male,Russia,Student,Bachelor’s degree
Male,Other,Research Scientist,Master’s degree
Male,India,Student,Bachelor’s degree
Female,India,Data Scientist,Master’s degree
Male,India,Student,Bachelor’s degree
Male,Netherlands,Data Scientist,Bachelor’s degree
Male,United States of America,Data Analyst,Master’s degree
Male,India,Data Scientist,Master’s degree
Male,Japan,Research Scientist,Doctoral degree
Male,Spain,Data Scientist,Master’s degree
Male,United States of America,Other,Master’s degree
Male,South Africa,Software Engineer,Master’s degree
Male,United States of America,Software Engineer,Bachelor’s degree
Female,United States of America,Student,Master’s degree
Female,United States of America,Data Analyst,Bachelor’s degree
Male,United States of America,Other,Doctoral degree
Male,Czech Republic,Other,Master’s degree
Male,Thailand,Data Scientist,Master’s degree
Male,Taiwan,Data Scientist,Master’s degree
Male,Netherlands,Data Scientist,Doctoral degree
Male,United Kingdom of Great Britain and Northern Ireland,Data Scientist,Doctoral degree
Male,Nigeria,Not employed,Master’s degree
Male,China,Student,Master’s degree
Male,India,DBA/Database Engineer,Bachelor’s degree
Male,South Korea,Data Scientist,Master’s degree
Male,India,Student,I prefer not to answer
Male,Turkey,Research Scientist,Doctoral degree
Male,United States of America,Research Scientist,Master’s degree
Male,Indonesia,Other,Bachelor’s degree
Male,France,Data Scientist,Master’s degree
Male,United States of America,Other,Master’s degree
Male,Israel,Student,Doctoral degree
Female,Morocco,Student,Doctoral degree
Female,Turkey,Data Analyst,Bachelor’s degree
Female,India,Other,Master’s degree
Male,United Kingdom of Great Britain and Northern Ireland,Data Scientist,Master’s degree
Male,Japan,Data Scientist,Master’s degree
Male,Italy,Software Engineer,Master’s degree
Male,Switzerland,Data Scientist,Doctoral degree
Male,India,Student,Bachelor’s degree
Male,United States of America,Data Scientist,Master’s degree
Male,India,Software Engineer,Bachelor’s degree
Male,India,Student,Bachelor’s degree
Female,Russia,Not employed,Master’s degree
Male,United States of America,Data Scientist,Master’s degree
Male,United States of America,Other,Master’s degree
Male,Pakistan,Student,Bachelor’s degree
Male,India,Data Analyst,Doctoral degree
Male,Mexico,Data Scientist,Master’s degree
Male,Other,Data Scientist,Master’s degree
Male,Italy,Research Scientist,Doctoral degree
Male,Other,Data Scientist,Doctoral degree
Male,South Africa,Product/Project Manager,Professional degree
Male,Brazil,Statistician,Master’s degree
Female,Pakistan,Research Scientist,Master’s degree
Male,Portugal,Other,Master’s degree
Male,Germany,Data Scientist,Doctoral degree
Male,United States of America,Statistician,Master’s degree
Male,United States of America,Software Engineer,Bachelor’s degree
Male,Argentina,Business Analyst,Master’s degree
Female,United States of America,Other,Professional degree
Male,Brazil,Product/Project Manager,Bachelor’s degree
Male,Italy,Software Engineer,Some college/university study without earning a bachelor’s degree
Male,Viet Nam,Student,Bachelor’s degree
Male,United States of America,Software Engineer,Master’s degree
Male,United States of America,Student,Doctoral degree
Male,India,Student,Bachelor’s degree
Male,Netherlands,Data Scientist,Doctoral degree
Male,India,Data Engineer,Bachelor’s degree
Female,United States of America,Software Engineer,Bachelor’s degree
Male,Taiwan,Software Engineer,Master’s degree
Male,Denmark,Student,Master’s degree
Female,India,Data Analyst,Master’s degree
Male,India,Student,Bachelor’s degree
Male,Ukraine,Software Engineer,I prefer not to answer
Female,Russia,Data Analyst,Bachelor’s degree
Male,Colombia,Data Analyst,Master’s degree
Male,Thailand,Data Scientist,Master’s degree
Male,Viet Nam,Research Scientist,Master’s degree
Male,India,Software Engineer,Master’s degree
Male,Indonesia,Data Analyst,Professional degree
Male,Nigeria,Student,Master’s degree
Male,Other,Software Engineer,Doctoral degree
Male,India,Software Engineer,Bachelor’s degree
Male,Chile,Software Engineer,Bachelor’s degree
Male,India,Student,Bachelor’s degree
Male,United States of America,Other,Bachelor’s degree
Male,Colombia,Statistician,Bachelor’s degree
Male,Colombia,Product/Project Manager,Master’s degree
Male,United States of America,Not employed,Master’s degree
Male,Taiwan,Data Analyst,Doctoral degree
Male,India,Data Engineer,Bachelor’s degree
Male,United States of America,Data Analyst,Doctoral degree
Female,United States of America,Data Scientist,Bachelor’s degree
Female,Indonesia,Business Analyst,Bachelor’s degree
Male,United States of America,Data Analyst,Bachelor’s degree
Female,France,Software Engineer,Bachelor’s degree
Female,United States of America,Data Scientist,Doctoral degree
Male,India,Student,Master’s degree
Male,Russia,Data Scientist,Master’s degree
Male,India,Research Scientist,Professional degree
Male,India,Student,Bachelor’s degree
Female,Morocco,Not employed,Master’s degree
Female,South Korea,Student,Some college/university study without earning a bachelor’s degree
Female,United States of America,Data Scientist,Master’s degree
Male,India,Student,Bachelor’s degree
Male,India,Student,Bachelor’s degree
Male,Colombia,Student,Master’s degree
Male,Israel,Data Scientist,Master’s degree
Male,India,Student,Bachelor’s degree
Prefer to self-describe,Other,Research Scientist,Doctoral degree
Female,India,Student,Master’s degree
Male,Other,Software Engineer,Master’s degree
Male,United States of America,Data Scientist,Doctoral degree
Female,Russia,Data Scientist,Doctoral degree
Male,Other,Other,Master’s degree
Male,India,Data Scientist,Master’s degree
Male,United States of America,Other,Bachelor’s degree
Male,India,Data Analyst,Bachelor’s degree
Male,India,Data Scientist,Bachelor’s degree
Male,Italy,Data Scientist,Professional degree
Female,Canada,Data Analyst,Bachelor’s degree
Male,Mexico,Research Scientist,Master’s degree
Male,United States of America,Student,Master’s degree
Male,India,Data Scientist,Bachelor’s degree
Male,United States of America,Data Analyst,Bachelor’s degree
Female,United Kingdom of Great Britain and Northern Ireland,Data Analyst,Master’s degree
Male,India,Data Engineer,Bachelor’s degree
Prefer not to say,Japan,Data Analyst,Master’s degree
Female,United States of America,Data Analyst,Master’s degree
Prefer not to say,Other,Student,Some college/university study without earning a bachelor’s degree
Male,United States of America,Student,Master’s degree
Male,United States of America,Data Scientist,Master’s degree
Female,France,Data Scientist,Master’s degree
Male,India,Software Engineer,Master’s degree
Male,India,Business Analyst,Master’s degree
Male,Japan,Data Analyst,Master’s degree
Male,Taiwan,Research Scientist,Doctoral degree
Male,Russia,Statistician,No formal education past high school
Male,Mexico,Data Scientist,Bachelor’s degree
Male,France,Data Scientist,Doctoral degree
Prefer to self-describe,Russia,Software Engineer,Professional degree
Male,India,Software Engineer,Bachelor’s degree
Male,India,Data Scientist,Bachelor’s degree
Female,India,Other,Professional degree
Male,Brazil,DBA/Database Engineer,Master’s degree
Male,Argentina,Data Scientist,Doctoral degree
Male,India,Student,Bachelor’s degree
Male,Japan,Student,Bachelor’s degree
Male,Brazil,Other,Bachelor’s degree
Male,India,Software Engineer,Master’s degree
Prefer not to say,Viet Nam,Data Scientist,Bachelor’s degree
Male,Japan,Other,Bachelor’s degree
Male,United States of America,Product/Project Manager,Master’s degree
Male,Italy,Research Scientist,Doctoral degree
Male,India,Data Scientist,Master’s degree
Male,India,Student,Bachelor’s degree
Male,United States of America,Other,Master’s degree
Female,United States of America,Student,Master’s degree
Male,Japan,Data Scientist,Master’s degree
Male,India,Student,Bachelor’s degree
Male,India,Student,Some college/university study without earning a bachelor’s degree
Female,Ukraine,Student,Master’s degree
Male,India,Software Engineer,Bachelor’s degree
Male,India,Software Engineer,Bachelor’s degree
Male,India,Student,Bachelor’s degree
Male,United States of America,Data Analyst,Master’s degree
Female,Tunisia,Not employed,Doctoral degree
Male,Brazil,Software Engineer,Master’s degree
Male,United Kingdom of Great Britain and Northern Ireland,Data Scientist,Doctoral degree
Female,Chile,Product/Project Manager,Master’s degree
Male,Netherlands,Data Scientist,Doctoral degree
Male,Other,Student,Some college/university study without earning a bachelor’s degree
Male,United States of America,Software Engineer,Professional degree
Male,Russia,Research Scientist,Doctoral degree
Male,Brazil,Student,Bachelor’s degree
Male,India,Student,Master’s degree
Female,Japan,Data Scientist,Doctoral degree
Male,Spain,Research Scientist,Doctoral degree
Male,Singapore,Data Scientist,Master’s degree
Male,Canada,Student,Doctoral degree
Male,Pakistan,Software Engineer,Bachelor’s degree
Male,United States of America,Data Scientist,Master’s degree
Male,Russia,Student,Some college/university study without earning a bachelor’s degree
Male,Canada,Data Scientist,Master’s degree
Female,France,Research Scientist,Doctoral degree
Female,India,Student,Master’s degree
Female,Canada,Product/Project Manager,Bachelor’s degree
Male,India,Student,Bachelor’s degree
Female,United States of America,Student,Master’s degree
Male,Egypt,Not employed,Bachelor’s degree
Male,India,Student,Bachelor’s degree
Male,India,Other,Master’s degree
Female,Other,Data Scientist,Master’s degree
Male,Brazil,Software Engineer,Master’s degree
Male,Poland,Business Analyst,Master’s degree
Male,India,Student,Bachelor’s degree
Male,Republic of Korea,Student,Some college/university study without earning a bachelor’s degree
Male,Viet Nam,Student,Bachelor’s degree
Female,Russia,Data Analyst,Master’s degree
Female,United States of America,Other,Bachelor’s degree
Male,Norway,Not employed,Bachelor’s degree
Male,United States of America,Student,Master’s degree
Male,United Kingdom of Great Britain and Northern Ireland,Research Scientist,Master’s degree
Female,United States of America,Data Analyst,Bachelor’s degree
Male,Germany,Research Scientist,Doctoral degree
Male,Germany,Software Engineer,Master’s degree
Female,United States of America,Software Engineer,Master’s degree
Male,India,Not employed,Master’s degree
Male,France,Data Engineer,Professional degree
Male,Brazil,Product/Project Manager,Doctoral degree
Male,United States of America,Statistician,Doctoral degree
Male,Mexico,Data Engineer,Some college/university study without earning a bachelor’s degree
Male,United States of America,Statistician,Bachelor’s degree
Male,United States of America,Data Analyst,Master’s degree
Female,Turkey,Student,Bachelor’s degree
Male,United States of America,Data Scientist,Master’s degree
Male,Other,Product/Project Manager,Bachelor’s degree
Male,Colombia,Data Analyst,Professional degree
Male,United States of America,Research Scientist,Master’s degree
Male,India,Student,Bachelor’s degree
Male,Italy,Data Analyst,Bachelor’s degree
Female,United Kingdom of Great Britain and Northern Ireland,Not employed,Master’s degree
Male,Canada,Data Scientist,Doctoral degree
Female,Italy,Software Engineer,Professional degree
Male,United Kingdom of Great Britain and Northern Ireland,Product/Project Manager,Master’s degree
Male,United Kingdom of Great Britain and Northern Ireland,Data Scientist,Doctoral degree
Male,India,Student,Bachelor’s degree
Male,United Kingdom of Great Britain and Northern Ireland,Product/Project Manager,Doctoral degree
Male,Germany,Research Scientist,Doctoral degree
Male,India,Software Engineer,Bachelor’s degree
Prefer not to say,Other,,I prefer not to answer
Male,United States of America,Software Engineer,Master’s degree
Male,Germany,Data Analyst,Master’s degree
Male,United States of America,Data Scientist,Doctoral degree
Male,United States of America,Other,Master’s degree
Female,India,Student,Bachelor’s degree
Male,India,Product/Project Manager,I prefer not to answer
Female,Sweden,Data Engineer,Master’s degree
Male,United States of America,Data Engineer,Bachelor’s degree
Male,United States of America,Software Engineer,Master’s degree
Female,Brazil,Not employed,Master’s degree
Male,Canada,Data Engineer,Some college/university study without earning a bachelor’s degree
Male,South Africa,Business Analyst,Master’s degree
Male,United States of America,Data Scientist,Master’s degree
Male,New Zealand,Student,Bachelor’s degree
Male,Republic of Korea,Student,Some college/university study without earning a bachelor’s degree
Male,Canada,Data Scientist,Master’s degree
Male,United States of America,Data Scientist,Doctoral degree
Male,India,Product/Project Manager,Master’s degree
Male,Canada,Research Scientist,Doctoral degree
Female,United States of America,Business Analyst,Bachelor’s degree
Male,United States of America,Other,Bachelor’s degree
Male,Italy,Data Analyst,Master’s degree
Male,Poland,Product/Project Manager,Master’s degree
Male,Poland,Data Scientist,Master’s degree
Male,India,Data Scientist,Bachelor’s degree
Male,India,Student,Bachelor’s degree
Female,India,Software Engineer,Bachelor’s degree
Male,United States of America,Other,Doctoral degree
Male,Spain,Product/Project Manager,Master’s degree
Male,India,Data Scientist,Master’s degree
Female,South Africa,Data Scientist,Bachelor’s degree
Male,India,Not employed,Bachelor’s degree
Male,Ireland,Software Engineer,Master’s degree
Male,United States of America,Data Scientist,Master’s degree
Female,"Iran, Islamic Republic of...",Student,Master’s degree
Male,Brazil,Data Scientist,Master’s degree
Male,Bangladesh,Research Scientist,Master’s degree
Male,India,Research Scientist,Bachelor’s degree
Male,India,Data Engineer,Bachelor’s degree
Male,United States of America,Data Scientist,Bachelor’s degree
Male,United States of America,Research Scientist,Doctoral degree
Male,India,Student,Bachelor’s degree
Male,India,Software Engineer,Bachelor’s degree
Female,Canada,Not employed,Master’s degree
Male,Switzerland,Software Engineer,Doctoral degree
Male,"Iran, Islamic Republic of...",Software Engineer,Bachelor’s degree
Female,United States of America,Student,Master’s degree
Male,Canada,Data Scientist,Master’s degree
Male,Spain,Other,Doctoral degree
Male,Spain,Research Scientist,Doctoral degree
Male,Other,Software Engineer,Doctoral degree
Male,United States of America,Data Scientist,Doctoral degree
Male,Ukraine,Student,Master’s degree
Male,United States of America,Data Scientist,Doctoral degree
Male,India,Not employed,Doctoral degree
Female,Tunisia,Student,Doctoral degree
Male,United States of America,Data Scientist,Doctoral degree
Male,India,Other,Doctoral degree
Male,United States of America,Software Engineer,Bachelor’s degree
Male,United States of America,Data Scientist,Doctoral degree
Male,United States of America,Student,Doctoral degree
Male,Bangladesh,Student,Bachelor’s degree
Male,Poland,Other,Some college/university study without earning a bachelor’s degree
Male,Singapore,Data Analyst,Master’s degree
Male,Greece,Student,Master’s degree
Male,Bangladesh,Data Scientist,Bachelor’s degree
Male,United Kingdom of Great Britain and Northern Ireland,Data Scientist,Master’s degree
Male,Brazil,Student,Doctoral degree
Male,United States of America,Data Analyst,Master’s degree
Female,Morocco,Student,Master’s degree
Male,Russia,Data Scientist,Master’s degree
Male,Turkey,Data Scientist,Master’s degree
Male,India,Student,Bachelor’s degree
Female,Portugal,Student,Master’s degree
Male,United States of America,Software Engineer,Bachelor’s degree
Female,Egypt,Data Scientist,Bachelor’s degree
Male,Netherlands,Other,Doctoral degree
Male,United States of America,Data Scientist,Master’s degree
Male,Switzerland,Research Scientist,Doctoral degree
Male,Other,Research Scientist,Professional degree
Female,India,Data Scientist,Master’s degree
Male,India,Data Scientist,Master’s degree
Male,United States of America,Student,Bachelor’s degree
Male,Brazil,Business Analyst,Bachelor’s degree
Female,United States of America,Not employed,Master’s degree
Male,Other,Data Scientist,Master’s degree
Male,India,Data Scientist,Bachelor’s degree
Male,France,Software Engineer,Master’s degree
Male,India,Student,Bachelor’s degree
Male,Singapore,Product/Project Manager,Master’s degree
Male,India,Other,Bachelor’s degree
Female,United States of America,Research Scientist,Doctoral degree
Male,Russia,Data Scientist,Doctoral degree
Male,Viet Nam,Software Engineer,Bachelor’s degree
Male,Brazil,Data Scientist,Master’s degree
Female,India,Student,Master’s degree
Male,India,Other,Master’s degree
Male,Peru,Product/Project Manager,Professional degree
Female,South Africa,Data Scientist,Bachelor’s degree
Female,Canada,Student,Master’s degree
Female,United States of America,Product/Project Manager,Master’s degree
Female,United States of America,Research Scientist,Doctoral degree
Male,India,Data Scientist,Master’s degree
Male,India,Data Analyst,Master’s degree
Male,India,Student,Bachelor’s degree
Male,Kenya,Software Engineer,Bachelor’s degree
Female,Pakistan,Student,Master’s degree
Male,Turkey,Data Analyst,Doctoral degree
Male,Other,Software Engineer,Master’s degree
Male,India,Data Scientist,Master’s degree
Male,Other,Software Engineer,Doctoral degree
Male,United States of America,Other,Master’s degree
Male,Germany,Business Analyst,Master’s degree
Male,United States of America,Student,Bachelor’s degree
Male,United States of America,Research Scientist,Doctoral degree
Male,United States of America,Student,Master’s degree
Male,Taiwan,Software Engineer,Master’s degree
Female,Pakistan,Student,Master’s degree
Male,Italy,Data Scientist,Master’s degree
Male,Brazil,Data Scientist,I prefer not to answer
Male,India,Student,Bachelor’s degree
Male,Denmark,Student,Bachelor’s degree
Female,India,Student,Bachelor’s degree
Male,Egypt,Student,Bachelor’s degree
Male,India,Student,Bachelor’s degree
Male,Netherlands,Business Analyst,Doctoral degree
Male,Chile,Other,Master’s degree
Male,Pakistan,Student,Master’s degree
Male,India,Not employed,Bachelor’s degree
Male,United States of America,Student,Master’s degree
Male,Singapore,Software Engineer,Doctoral degree
Female,"Iran, Islamic Republic of...",Data Analyst,Master’s degree
Male,Russia,Software Engineer,Master’s degree
Male,India,Student,Bachelor’s degree
Male,Taiwan,Software Engineer,Master’s degree
Male,Poland,Data Scientist,Doctoral degree
Male,Canada,Other,Professional degree
Male,India,Student,Some college/university study without earning a bachelor’s degree
Male,India,Product/Project Manager,Master’s degree
Female,Japan,Data Scientist,Master’s degree
Male,Brazil,Other,Professional degree
Male,Pakistan,Software Engineer,Master’s degree
Male,Other,Data Scientist,Master’s degree
Male,Other,Product/Project Manager,Master’s degree
Male,India,Product/Project Manager,Bachelor’s degree
Female,Italy,Data Scientist,Doctoral degree
Male,India,Student,Master’s degree
Female,India,Software Engineer,Master’s degree
Male,Russia,Student,Bachelor’s degree
Prefer not to say,Italy,Software Engineer,I prefer not to answer
Female,Other,Software Engineer,Master’s degree
Male,India,DBA/Database Engineer,Bachelor’s degree
Female,India,Student,Bachelor’s degree
Male,United States of America,Data Scientist,Master’s degree
Male,Brazil,Software Engineer,Some college/university study without earning a bachelor’s degree
Male,United States of America,Data Scientist,Bachelor’s degree
Female,Mexico,Student,Some college/university study without earning a bachelor’s degree
Male,South Africa,Data Scientist,Bachelor’s degree
Male,United States of America,Data Scientist,Doctoral degree
Male,Russia,Data Analyst,Master’s degree
Female,Brazil,Data Analyst,Professional degree
Male,Mexico,Other,Master’s degree
Male,Mexico,Not employed,Bachelor’s degree
Female,Switzerland,Student,Master’s degree
Male,India,Student,Bachelor’s degree
Female,United States of America,Other,Doctoral degree
Male,Nigeria,Student,Bachelor’s degree
